"Tool Index (tool_index)","Preset Name (preset_name)","Type (tool_type)","Description (tool_description)","Diameter (tool_diameter)","Number (tool_number)","Unit (tool_unit)","Holder Description (holder_description)","Holder Product ID (holder_productId)","Holder Product Link (holder_productLink)","Holder Vendor (holder_vendor)","Abrasive Flow Rate (tool_abrasiveFlowRate)","Size (tool_adaptiveItemSize)","Orientation (tool_angle)","Tool Assembly Gauge Length (tool_assemblyGaugeLength)","Assist Gas (tool_assistGas)","Axial Distance (tool_axialDistance)","Bead Width (tool_beadWidth)","Tool Block Size (tool_block_adaptiveItemSize)","Tool Block Comment (tool_block_comment)","Tool Block Description (tool_block_description)","Tool Block Half Index (tool_block_isHalfIndex)","Tool Block Live (tool_block_live)","Tool Block Connection Type (tool_block_machineSideConnectionType)","Tool Block Maximum RPM (tool_block_maximumRotationalSpeed)","Tool Block Attachment points (tool_block_numberOfAttachmentPoints)","Tool Block Number of Tools (tool_block_numberOfTools)","Tool Block Orientation (tool_block_orientationType)","Tool Block Product ID (tool_block_productId)","Tool Block Product Link (tool_block_productLink)","Tool Block Station Number (tool_block_stationNumber)","Tool Block Vendor (tool_block_vendor)","Body Length (tool_bodyLength)","Break Control (tool_breakControl)","Chamfer Angle (tool_chamferAngle)","Chamfer Width (tool_chamferWidth)","Clamping (tool_clamping)","Clockwise Spindle Rotation (tool_clockwise)","Comment (tool_comment)","Compensation (tool_compensation)","Compensation Offset (tool_compensationOffset)","Coolant (tool_coolant)","Coolant Support (tool_coolantSupport)","Corner Radius (tool_cornerRadius)","Cross Section (tool_crossSection)","Cut Height (tool_cutHeight)","Cut Power (tool_cutPower)","Cutting Width (tool_cuttingWidth)","Auxiliary Gas Flow Rate (tool_depositingAuxiliaryGasFlowRate)","Carrier Gas Flow Rate (tool_depositingCarrierGasFlowRate)","Current (tool_depositingCurrent)","Power (tool_depositingPower)","Shield Gas Flow Rate (tool_depositingShieldGasFlowRate)","Voltage (tool_depositingVoltage)","Depth of Cut (tool_depthOfCut)","Diameter Offset (tool_diameterOffset)","End Angle (tool_endAngle)","End Cutting (tool_endCutting)","Cutting Feedrate (tool_feedCutting)","Cutting Feed per Revolution (tool_feedCuttingRel)","Depositing Feedrate (tool_feedDepositing)","Lead-In Feedrate (tool_feedEntry)","Lead-In Feed per Revolution (tool_feedEntryRel)","Lead-Out Feedrate (tool_feedExit)","Lead-Out Feed per Revolution (tool_feedExitRel)","Plunge Feed per Revolution (tool_feedPerRevolution)","Feed per Tooth (tool_feedPerTooth)","Plunge Feedrate (tool_feedPlunge)","Link Feedrate (tool_feedProbeLink)","Measure Feedrate (tool_feedProbeMeasure)","Ramp Feedrate (tool_feedRamp)","Retract Feedrate (tool_feedRetract)","Retract Feed per Revolution (tool_feedRetractPerRevolution)","Transition Feedrate (tool_feedTransition)","Wire Feedrate (tool_feedWire)","Flute Length (tool_fluteLength)","Use Opposite Edge (tool_grooveCompOppositeEdge)","Groove Width (tool_grooveWidth)","Hand (tool_hand)","Head Clearance (tool_headClearance)","Head Length (tool_headLength)","Tool Holder Gauge Length (tool_holderGaugeLength)","Head Length (tool_holderHeadLength)","Overall Length (tool_holderOverallLength)","Style (tool_holderType)","Angle (tool_insertAngle)","Insert size (tool_insertSize)","Size specified by (tool_insertSizeSpecificationMode)","Shape (tool_insertType)","Width (tool_insertWidth)","Internal Thread (tool_internalThread)","Half Index (tool_isHalfIndex)","Kerf Width (tool_kerfWidth)","Layer Thickness (tool_layerThickness)","Leading Angle (tool_leadingAngle)","Trailing edge length (tool_lengthNonCuttingEdge)","Length Offset (tool_lengthOffset)","Live Tool (tool_live)","Lower Radius (tool_lowerRadius)","Quality Control (tool_machineQualityControl)","Connection Type (tool_machineSideConnectionType)","Manual Tool Change (tool_manualToolChange)","Material (tool_material)","Maximum Diameter (tool_maximumCuttingDiameter)","Maximum RPM (tool_maximumRotationalSpeed)","Maximum Thread Pitch (tool_maximumThreadPitch)","Minimum Thread Pitch (tool_minimumThreadPitch)","Nozzle Diameter (tool_nozzleDiameter)","Attachment points (tool_numberOfAttachmentPoints)","Number of Flutes (tool_numberOfFlutes)","Number of Teeth (tool_numberOfTeeth)","Number of Tools (tool_numberOfTools)","Orientation (tool_orientationType)","Overall Length (tool_overallLength)","Pierce Height (tool_pierceHeight)","Pierce Power (tool_piercePower)","Pierce Time (tool_pierceTime)","Powder Flow Rate (tool_powderFlowRate)","Filter by Type (tool_presetMaterialCategory)","Maximum hardness (tool_presetMaterialMaximumHardness)","Minimum hardness (tool_presetMaterialMinimumHardness)","Filter by Search (tool_presetMaterialQuery)","Filter by hardness (tool_presetMaterialUseHardness)","Preset Program Number (tool_presetProgram)","Pressure (tool_pressure)","Product ID (tool_productId)","Product Link (tool_productLink)","Profile Radius (tool_profileRadius)","Ramp Angle (tool_rampAngle)","Ramp Spindle Speed (tool_rampSpindleSpeed)","Relief Angle (tool_reliefAngle)","Round Shank (tool_roundShank)","Flip (tool_shaftAxisAngle)","Shaft Diameter (tool_shaftDiameter)","Shank Height (tool_shankHeight)","Shank Width (tool_shankWidth)","Shoulder Diameter (tool_shoulderDiameter)","Shoulder Length (tool_shoulderLength)","Side Angle (tool_sideAngle)","Side Cutting (tool_sideCutting)","Spindle Speed (tool_spindleSpeed)","Stand-off Distance (tool_standoffDistance)","Station Number (tool_stationNumber)","Stepdown (tool_stepdown)","Stepover (tool_stepover)","Surface Speed (tool_surfaceSpeed)","Taper Angle (tool_taperAngle)","Tapered Type (tool_taperedType)","Thickness (tool_thickness)","Thread Pitch (tool_threadPitch)","Thread Profile Angle (tool_threadProfileAngle)","Thread Tip Radius (tool_threadTipRadius)","Thread Tip Type (tool_threadTipType)","Thread Tip Width (tool_threadTipWidth)","Tip Angle (tool_tipAngle)","Tip Diameter (tool_tipDiameter)","Tip Length (tool_tipLength)","Tip Offset (tool_tipOffset)","Tolerance (tool_tolerance)","Trailing Angle (tool_trailingAngle)","Turret (tool_turret)","Upper Radius (tool_upperRadius)","Use Constant Surface Speed (tool_useConstantSurfaceSpeed)","Use Feed per Revolution (tool_useFeedPerRevolution)","Vendor (tool_vendor)","Use Depth of Cut (use_tool_depthOfCut)","Use Preset Program Number (use_tool_presetProgram)","Use Stepdown (use_tool_stepdown)","Use Stepover (use_tool_stepover)","Shaft Segments (shaft_segments)","Holder Segments (holder_segments)","Tool Library Version (tool_library_version)","CSV_TOOLS_VERSION_1"
29,304/316 SS (M) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,1.5965,0.001969,,,,,,0.0035,0.000984,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,350,150,,true,,,,,,2,,,,,0.29,,,,2.211,,,811,,,,,62,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,17-4 PH (M) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,3.4213,0.003937,,,,,,0.0035,0.001969,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,440,280,,true,,,,,,2,,,,,0.29,,,,2.211,,,869,,,,,66,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,17-4 PH (M) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,1.1969,0.001969,,,,,,0.0035,0.000984,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,440,280,,true,,,,,,2,,,,,0.29,,,,2.211,,,608,,,,,46,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,2205 Duplex (M) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.8504,0.003937,,,,,,0.0035,0.001969,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.29,,,,2.211,,,724,,,,,55,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,2205 Duplex (M) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,0.998,0.001969,,,,,,0.0035,0.000984,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.29,,,,2.211,,,507,,,,,38,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Gray Iron (K) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,6.1228,0.004724,,,,,,0.0035,0.002362,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.29,,,,2.211,,,1296,,,,,98,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Gray Iron (K) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.1425,0.002362,,,,,,0.0035,0.001181,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.29,,,,2.211,,,907,,,,,69,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Ductile Iron (K) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,4.8142,0.004724,,,,,,0.0035,0.002362,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,320,160,,true,,,,,,2,,,,,0.29,,,,2.211,,,1019,,,,,77,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Ductile Iron (K) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,1.6843,0.002362,,,,,,0.0035,0.001181,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,320,160,,true,,,,,,2,,,,,0.29,,,,2.211,,,713,,,,,54,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,6061/7075 Alum (N) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,16.8713,0.005276,,,,,,0.0035,0.002638,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,aluminum,150,30,,true,,,,,,2,,,,,0.29,,,,2.211,,,3198,,,,,243,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,6061/7075 Alum (N) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,5.9034,0.002638,,,,,,0.0035,0.001319,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,aluminum,150,30,,true,,,,,,2,,,,,0.29,,,,2.211,,,2238,,,,,170,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Brass (N) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,21.0865,0.005276,,,,,,0.0035,0.002638,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,brass,120,50,,true,,,,,,2,,,,,0.29,,,,2.211,,,3997,,,,,303,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Brass (N) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,7.3806,0.002638,,,,,,0.0035,0.001319,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,brass,120,50,,true,,,,,,2,,,,,0.29,,,,2.211,,,2798,,,,,212,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Copper (N) Drill,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,8.4357,0.005276,,,,,,0.0035,0.002638,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,copper,100,40,,true,,,,,,2,,,,,0.29,,,,2.211,,,1599,,,,,121,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
29,Copper (N) Peck,drill,L DRILL,0.29,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.9517,0.002638,,,,,,0.0035,0.001319,2.305,,,,1.31714,0.002,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,copper,100,40,,true,,,,,,2,,,,,0.29,,,,2.211,,,1119,,,,,85,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,"Default Preset","drill","M DRILL",0.295,6,"inches","BIG DAISHOWA ER-32-4NL","","","BIG DAISHOWA","","","",6.4634,"","","","","","","","","","","","","","","","","",2.613,false,"","","",true,"","",6,"flood","no","","","","","","","","","","","","",6,"","","","","","","","","",0.0035,"",2.26593,"","","",1.55378,0.0024,"","",2.01,"","","","","",3.8504,"","","","","","","","","","","","","","",6,false,"","","",false,"hss","","","","","","",2,"","","",2.613,"","","","","all","","","",false,"","","","","",2,"","","","",0.295,"","","",2.211,"","",647.41,"","","","",50,"","","","","","","","",118,"","","","","",0,"","",true,"","","",false,false,"","H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310",36
30,1018 Steel (P) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,8.4986,0.004764,,,,,,0.0035,0.002382,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,300,120,,true,,,,,,2,,,,,0.295,,,,2.211,,,1784,,,,,138,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,1018 Steel (P) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.975,0.002382,,,,,,0.0035,0.001191,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,300,120,,true,,,,,,2,,,,,0.295,,,,2.211,,,1249,,,,,96,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,1045 Steel (P) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,7.1933,0.004764,,,,,,0.0035,0.002382,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,260,170,,true,,,,,,2,,,,,0.295,,,,2.211,,,1510,,,,,117,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,1045 Steel (P) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.5177,0.002382,,,,,,0.0035,0.001191,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,260,170,,true,,,,,,2,,,,,0.295,,,,2.211,,,1057,,,,,82,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,4140/4340 Alloy (P) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,6.5359,0.004764,,,,,,0.0035,0.002382,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,350,180,,true,,,,,,2,,,,,0.295,,,,2.211,,,1372,,,,,106,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,4140/4340 Alloy (P) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.289,0.002382,,,,,,0.0035,0.001191,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,steel,350,180,,true,,,,,,2,,,,,0.295,,,,2.211,,,961,,,,,74,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,304/316 SS (M) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,4.5251,0.003976,,,,,,0.0035,0.001988,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,350,150,,true,,,,,,2,,,,,0.295,,,,2.211,,,1138,,,,,88,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,304/316 SS (M) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,1.5846,0.001988,,,,,,0.0035,0.000994,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,350,150,,true,,,,,,2,,,,,0.295,,,,2.211,,,797,,,,,62,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,17-4 PH (M) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,3.3958,0.003976,,,,,,0.0035,0.001988,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,440,280,,true,,,,,,2,,,,,0.295,,,,2.211,,,854,,,,,66,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,17-4 PH (M) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,1.1889,0.001988,,,,,,0.0035,0.000994,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,440,280,,true,,,,,,2,,,,,0.295,,,,2.211,,,598,,,,,46,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,2205 Duplex (M) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.8312,0.003976,,,,,,0.0035,0.001988,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.295,,,,2.211,,,712,,,,,55,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,2205 Duplex (M) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,0.9901,0.001988,,,,,,0.0035,0.000994,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,stainless steel,320,250,,true,,,,,,2,,,,,0.295,,,,2.211,,,498,,,,,38,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,Gray Iron (K) Drill,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,6.0691,0.004764,,,,,,0.0035,0.002382,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.295,,,,2.211,,,1274,,,,,98,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
30,Gray Iron (K) Peck,drill,M DRILL,0.295,6,inches,BIG DAISHOWA ER-32-4NL,,,BIG DAISHOWA,,,,6.4634,,,,,,,,,,,,,,,,,,2.613,false,,,,true,,,6,flood,no,,,,,,,,,,,,,6,,,2.1246,0.002382,,,,,,0.0035,0.001191,2.26593,,,,1.55378,0.0024,,,2.01,,,,,,3.8504,,,,,,,,,,,,,,,6,false,,,,false,hss,,,,,,,2,,,,2.613,,,,,cast iron,300,150,,true,,,,,,2,,,,,0.295,,,,2.211,,,892,,,,,69,,,,,,,,,118,,,,,,0,,,true,,,,false,false,,H1.188980 U1.988190 L1.988190; H1.950790 U1.750000 L1.750000; H0.710630 U2.403310 L2.403310,36
